code,name,url
AU,Australian Bureau of Statistics,https://www.abs.gov.au/
AU,Royal Adelaide Hospital,https://www.rah.sa.gov.au/
CN,Huawei Technologies Co.,https://www.huawei.com/
DE,CISPA Helmholtz Center for Information Security,https://cispa.de/en
DE,Fraunhofer Institute for Computer Graphics Research,https://www.igd.fraunhofer.de/en
DE,Max-Planck-Gesellschaft,https://www.mpg.de/en
ES,IMDEA Networks Institute,https://networks.imdea.org
ES,IMDEA Software Institute,https://software.imdea.org
IE,European Institute of Women's Health,https://eurohealth.ie/
IN,CSIR - National Institute of Oceanography (NIO),https://www.nio.org/
QA,Qatar Computing Research Institute,https://www.hbku.edu.qa
SG,Institute of Microelectronics,https://www.a-star.edu.sg/ime
US,Adobe Research,https://research.adobe.com/
US,Apple Inc.,https://www.apple.com/
US,Argonne National Laboratory,https://www.anl.gov/
US,IBM Research,https://www.research.ibm.com/
US,Lawrence Berkeley National Laboratory,https://www.lbl.gov/
US,Microsoft Research,https://www.microsoft.com/en-us/research/
US,Sun Microsystems,https://www.oracle.com/oracle-for-research/
US,US Army Research Institute,https://ari.altess.army.mil/